"taxon","class","guild","max_length","presence","mobility","side","limit","method","lat1","lon1","site1","temp1","total1","lat2","lon2","site2","temp2","total2","lat","dLon","dTemp","pop_trend","ecoregion","dSST","i.ecoregion","i.dSST"
"Scolopsis monogramma","Actinopterygii","tropical",31,"common","Demersal","west","southern","abundance weighted quantiles",-21.6507899999998,114.376910000002,"NWS158",25.5885978112175,1.15,-21.67022,114.352509999999,"NWS159",25.2371135430917,1.33333333333333,-21.6507899999998,-0.0244000000036664,-0.351484268125802,0.147920130076622,"Exmouth to Broome",-0.439903132395639,"Exmouth to Broome",-0.439903132395639
"Eviota guttata","Actinopterygii","tropical",2.5,"common","benthic","west","southern","abundance weighted quantiles",-21.67022,114.352509999999,"NWS159",25.7922982216142,8.66666666666667,-21.6367800000003,114.390769999999,"NWS157",25.349316005472,17.2666666666667,-21.67022,0.0382600000004771,-0.442982216142198,0.689293611243955,"Exmouth to Broome",-0.555184678522647,"Exmouth to Broome",-0.555184678522647
"Choerodon cyanodus","Actinopterygii","tropical",70,"common","Demersal","west","southern","abundance weighted quantiles",-21.8363299999992,114.17777,"NMP-BF4",25.4879671682627,3.54333333333333,-21.8363299999992,114.17777,"NMP-BF4",25.0791029900332,2.06339285714286,-21.8363299999992,0,-0.408864178229443,-0.540716257700506,"Exmouth to Broome",-0.460580946336588,"Exmouth to Broome",-0.460580946336588
"Diademichthys lineatus","Actinopterygii","tropical",5,"rare","benthic","west","southern","abundance weighted quantiles",-21.8363299999992,114.17777,"NMP-BF4",25.3236662106703,1.45833333333333,-23.0980000000003,113.794290000001,"NMP28",24.2654582763338,1.66666666666667,-21.8363299999992,-0.383479999998372,-1.0582079343365,0.133531392624523,"Exmouth to Broome",-0.460580946336588,"Exmouth to Broome",-0.460580946336588
"Synodus binotatus","Actinopterygii","tropical",18,"rare","benthic","west","southern","abundance weighted quantiles",-21.8363299999992,114.17777,"NMP-BF4",25.5851983584131,3,-21.6507899999998,114.376910000002,"NWS158",25.2371135430917,1,-21.8363299999992,0.199140000002515,-0.3480848153214,-1.09861228866811,"Exmouth to Broome",-0.460580946336588,"Exmouth to Broome",-0.460580946336588
"Zebrasoma velifer","Actinopterygii","tropical",40,"common","Demersal","west","southern","abundance weighted quantiles",-21.8363299999992,114.17777,"NMP-BF4",25.7344186046512,3.33333333333333,-23.2061500000002,113.760290000001,"NMP31",24.1312311901505,2,-21.8363299999992,-0.417479999999046,-1.6031874145007,-0.510825623765991,"Exmouth to Broome",-0.460580946336588,"Exmouth to Broome",-0.460580946336588
"Cirripectes filamentosus","Actinopterygii","tropical",9,"common","benthic","west","southern","abundance weighted quantiles",-21.8392099999993,114.175640000001,"NMP-BF1",25.5290424076608,5.57142857142857,-23.14221,113.767090000001,"NMP21",24.2265800273598,2.921875,-21.8392099999993,-0.408550000000417,-1.30246238030095,-0.645425963579418,"Exmouth to Broome",-0.382157900488732,"Exmouth to Broome",-0.382157900488732
"Thalassoma hardwicke","Actinopterygii","tropical",20,"common","Demersal","west","southern","abundance weighted quantiles",-21.8392099999993,114.175640000001,"NMP-BF1",25.5290424076608,6.44871794871795,-23.1123399999997,113.750419999997,"NMP1",24.3732147742818,10.7083333333333,-21.8392099999993,-0.42522000000389,-1.15582763337895,0.507140911137127,"Exmouth to Broome",-0.382157900488732,"Exmouth to Broome",-0.382157900488732
"Chromileptes altivelis","Actinopterygii","tropical",70,"rare","Demersal","west","southern","abundance weighted quantiles",-21.8524499999993,114.169540000002,"NMP-BF2",25.3598084815321,1,-23.2019399999999,113.762480000002,"NMP24",24.2960601915185,1,-21.8524499999993,-0.4070600000003,-1.06374829001363,0,"Exmouth to Broome",-0.441294299660115,"Exmouth to Broome",-0.441294299660115
"Cryptocentrus strigilliceps","Actinopterygii","tropical",10,"rare","benthic","west","southern","abundance weighted quantiles",-21.8524499999993,114.169540000002,"NMP-BF2",25.2326128590971,3,-17.3154999999999,119.3675,"NWS97",28.171340629275,1,-21.8524499999993,5.19795999999819,2.9387277701779,-1.09861228866811,"Exmouth to Broome",-0.441294299660115,"Exmouth to Broome",-0.441294299660115
"Epinephelus polyphekadion","Actinopterygii","tropical",90,"rare","Demersal","west","southern","abundance weighted quantiles",-21.8524499999993,114.169540000002,"NMP-BF2",25.2326128590971,1,-23.1610800000006,113.758749999998,"NMP6",24.3370998632011,1,-21.8524499999993,-0.410790000004297,-0.895512995895999,0,"Exmouth to Broome",-0.441294299660115,"Exmouth to Broome",-0.441294299660115
"Cantherhines dumerilii","Actinopterygii","tropical",38,"rare","Demersal","west","southern","abundance weighted quantiles",-21.8664799999997,114.159259999994,"NMP-BF3",25.4621067031464,1,-17.0762000000002,119.5962,"NWS82",28.2909849521204,1,-21.8664799999997,5.43694000000548,2.828878248974,0,"Exmouth to Broome",-0.445700155917766,"Exmouth to Broome",-0.445700155917766
"Chaetodon aureofasciatus","Actinopterygii","tropical",12.5,"common","Demersal","west","southern","abundance weighted quantiles",-21.8664799999997,114.159259999994,"NMP-BF3",25.4235704514364,8.125,-23.1775799999998,113.76397,"NMP14",24.3325034199726,1.60087719298246,-21.8664799999997,-0.395289999994503,-1.0910670314638,-1.62439400358775,"Exmouth to Broome",-0.445700155917766,"Exmouth to Broome",-0.445700155917766
"Pterocaesio digramma","Actinopterygii","tropical",30,"common","pelagic site attached","west","southern","abundance weighted quantiles",-21.8664799999997,114.159259999994,"NMP-BF3",25.4235704514364,86.7857142857143,-28.47336,113.77563,"WA54",22.4014500683995,110,-21.8664799999997,-0.383629999994412,-3.0221203830369,0.237038339633026,"Exmouth to Broome",-0.445700155917766,"Exmouth to Broome",-0.445700155917766
"Saurida nebulosa","Actinopterygii","tropical",16.5,"rare","benthic","west","southern","abundance weighted quantiles",-21.8664799999997,114.159259999994,"NMP-BF3",25.2329411764706,1.16666666666667,-23.0447300000007,113.818430000004,"NMP20",24.4252257181942,1,-21.8664799999997,-0.34082999999066,-0.807715458276352,-0.154150679827258,"Exmouth to Broome",-0.445700155917766,"Exmouth to Broome",-0.445700155917766
"Siganus doliatus","Actinopterygii","tropical",25,"common","Demersal","west","southern","abundance weighted quantiles",-21.8664799999997,114.159259999994,"NMP-BF3",25.4621067031464,14,-22.9287499999993,113.779370000002,"NMP-S2",24.3847332421341,3.5,-21.8664799999997,-0.379889999992102,-1.0773734610123,-1.38629436111989,"Exmouth to Broome",-0.445700155917766,"Exmouth to Broome",-0.445700155917766
"Naso unicornis","Actinopterygii","tropical",70,"common","Demersal","west","southern","abundance weighted quantiles",-22.8690500000006,113.764430000003,"NMP-S1",25.3572640218878,2.22916666666667,-23.1692499999999,113.757079999999,"NMP29",24.1850341997264,3.2,-22.8690500000006,-0.0073500000041804,-1.1722298221614,0.361522986251666,"Ningaloo",-0.395919377448902,"Ningaloo",-0.395919377448902
