"site_code","year","mean_sst"
"WP-S6",2016,15.637131147541
"WP-S6",2017,16.0562739726027
"WP-S6",2018,15.9315890410959
"WP-S6",2019,15.7237260273973
"WP-S6",2020,15.2386885245902
"WP-S6",2021,15.4806575342466
"WP-S6",2022,15.4814794520548
"WP-S4",2008,15.460737704918
"WP-S4",2009,15.5572602739726
"WP-S4",2010,15.8638082191781
"WP-S4",2011,15.4792602739726
"WP-S4",2012,15.4937978142076
"WP-S4",2013,15.9615616438356
"WP-S4",2014,15.9143287671233
"WP-S4",2015,15.4265205479452
"WP-S4",2016,15.6320765027322
"WP-S4",2017,16.0539178082192
"WP-S4",2018,15.9352876712329
"WP-S4",2019,15.7390684931507
"WP-S4",2020,15.2341256830601
"WP-S4",2021,15.4701095890411
"WP-S4",2022,15.4555068493151
"WP-S1",2008,15.4734426229508
"WP-S1",2009,15.5552876712329
"WP-S1",2010,15.8754794520548
"WP-S1",2011,15.4954520547945
"WP-S1",2012,15.5012841530055
"WP-S1",2013,15.9686849315068
"WP-S1",2014,15.9421643835616
"WP-S1",2015,15.4613424657534
"WP-S1",2016,15.6841530054645
"WP-S1",2017,16.125397260274
"WP-S1",2018,15.9962191780822
"WP-S1",2019,15.8097808219178
"WP-S1",2020,15.3041530054645
"WP-S1",2021,15.5341095890411
"WP-S1",2022,15.5565753424658
"WP-S25",2008,15.4720765027322
"WP-S25",2009,15.5626849315069
"WP-S25",2010,15.8667123287671
"WP-S25",2011,15.4959726027397
"WP-S25",2012,15.5055464480874
"WP-S25",2013,15.9544657534247
"WP-S25",2014,15.9595068493151
"WP-S25",2015,15.4694246575342
"WP-S25",2016,15.6376502732241
"WP-S25",2017,16.1181917808219
"WP-S25",2018,16.0179178082192
"WP-S25",2019,15.7253698630137
"WP-S25",2020,15.3104098360656
"WP-S25",2021,15.6278082191781
"WP-S25",2022,15.6053698630137
"WP-S24",2008,15.4720765027322
"WP-S24",2009,15.5626849315069
"WP-S24",2010,15.8667123287671
"WP-S24",2011,15.4959726027397
"WP-S24",2012,15.5055464480874
"WP-S24",2013,15.9544657534247
"WP-S24",2014,15.9595068493151
"WP-S24",2015,15.4694246575342
"WP-S24",2016,15.6376502732241
"WP-S24",2017,16.1181917808219
"WP-S24",2018,16.0179178082192
"WP-S24",2019,15.7253698630137
"WP-S24",2020,15.3104098360656
"WP-S24",2021,15.6278082191781
"WP-S24",2022,15.6053698630137
"WP-S20",2008,15.4546994535519
"WP-S20",2009,15.5577260273973
"WP-S20",2010,15.8469863013699
"WP-S20",2011,15.4703287671233
"WP-S20",2012,15.4930327868853
"WP-S20",2013,15.948904109589
"WP-S20",2014,15.9289863013699
"WP-S20",2015,15.4379178082192
"WP-S20",2016,15.5996174863388
"WP-S20",2017,16.0547397260274
"WP-S20",2018,15.958
"WP-S20",2019,15.6766301369863
"WP-S20",2020,15.2472404371585
"WP-S20",2021,15.5710684931507
"WP-S20",2022,15.5290410958904
"WP-S15",2008,15.4367486338798
"WP-S15",2009,15.5526575342466
"WP-S15",2010,15.8279178082192
"WP-S15",2011,15.4491232876712
"WP-S15",2012,15.480737704918
"WP-S15",2013,15.9407123287671
"WP-S15",2014,15.8961643835617
"WP-S15",2015,15.4039726027397
"WP-S15",2016,15.5605464480874
"WP-S15",2017,15.9859726027397
"WP-S15",2018,15.8958356164384
"WP-S15",2019,15.6301095890411
"WP-S15",2020,15.185218579235
"WP-S15",2021,15.512904109589
"WP-S15",2022,15.4467123287671
"WP-S7",2008,15.4386065573771
"WP-S7",2009,15.5472876712329
"WP-S7",2010,15.838602739726
"WP-S7",2011,15.4466575342466
"WP-S7",2012,15.4796994535519
"WP-S7",2013,15.9450136986301
"WP-S7",2014,15.8866575342466
"WP-S7",2015,15.3907397260274
"WP-S7",2016,15.5773224043716
"WP-S7",2017,15.9727397260274
"WP-S7",2018,15.8638630136986
"WP-S7",2019,15.6437260273973
"WP-S7",2020,15.1663934426229
"WP-S7",2021,15.4236164383562
"WP-S7",2022,15.3767397260274
"WP-S21",2008,15.4541530054645
"WP-S21",2009,15.560904109589
"WP-S21",2010,15.8458082191781
"WP-S21",2011,15.4757808219178
"WP-S21",2012,15.4910655737705
"WP-S21",2013,15.9475890410959
"WP-S21",2014,15.9267945205479
"WP-S21",2015,15.4387671232877
"WP-S21",2016,15.598087431694
"WP-S21",2017,16.0537534246575
"WP-S21",2018,15.9599452054794
"WP-S21",2019,15.6786849315068
"WP-S21",2020,15.2494262295082
"WP-S21",2021,15.5792876712329
"WP-S21",2022,15.5292054794521
"WP-S12",2008,15.4283606557377
"WP-S12",2009,15.5440273972603
"WP-S12",2010,15.8284383561644
"WP-S12",2011,15.4327671232877
"WP-S12",2012,15.4763934426229
"WP-S12",2013,15.94
"WP-S12",2014,15.8703835616438
"WP-S12",2015,15.3694246575343
"WP-S12",2016,15.5475136612022
"WP-S12",2017,15.9365479452055
"WP-S12",2018,15.8372876712329
"WP-S12",2019,15.6078356164384
"WP-S12",2020,15.1357650273224
"WP-S12",2021,15.4101095890411
"WP-S12",2022,15.3385753424658
"WA39",2008,20.6395901639344
"WA39",2009,20.2589041095891
"WA39",2010,20.3102739726027
"WA39",2011,21.1253150684931
"WA39",2012,20.4975409836065
"WA39",2013,20.9785205479452
"WA39",2014,20.641698630137
"WA39",2015,20.4429589041096
"WA39",2016,19.9115846994535
"WA39",2017,20.1786575342466
"WA39",2018,20.1660821917808
"WA39",2019,20.3823287671233
"WA39",2020,20.9188797814208
"WA39",2021,20.8101095890411
"WA39",2022,20.6420547945205
"WA30",2008,20.4875683060109
"WA30",2009,20.067397260274
"WA30",2010,20.2267123287671
"WA30",2011,20.918301369863
"WA30",2012,20.3226775956284
"WA30",2013,20.7858082191781
"WA30",2014,20.5025479452055
"WA30",2015,20.2749589041096
"WA30",2016,19.7283879781421
"WA30",2017,19.9282465753425
"WA30",2018,19.9574520547945
"WA30",2019,20.2761643835616
"WA30",2020,20.8086065573771
"WA30",2021,20.591698630137
"WA30",2022,20.4615890410959
"GBR144",2008,25.3125136612022
"GBR144",2009,25.8982739726027
"GBR144",2010,25.9510410958904
"GBR144",2011,25.0213150684932
"GBR144",2012,25.2495901639344
"GBR144",2013,25.6620273972603
"GBR144",2014,25.4322191780822
"GBR144",2015,25.8389863013699
"GBR144",2016,26.4022677595628
"GBR144",2017,26.0332054794521
"GBR144",2018,25.6535890410959
"GBR144",2019,25.3085479452055
"GBR144",2020,25.9193442622951
"GBR144",2021,25.9977534246575
"GBR144",2022,26.1376438356164
"SYD12",2008,19.6706284153005
"SYD12",2009,20.1383287671233
"SYD12",2010,20.3564383561644
"SYD12",2011,20.4106575342466
"SYD12",2012,19.9660109289617
"SYD12",2013,20.6318082191781
"SYD12",2014,20.4832602739726
"SYD12",2015,20.5928493150685
"SYD12",2016,20.990956284153
"SYD12",2017,20.8344383561644
"SYD12",2018,19.9352876712329
"SYD12",2019,20.7056164383561
"SYD12",2020,19.9604098360656
"SYD12",2021,20.3270410958904
"SYD12",2022,20.8386849315068
"SYD51",2008,19.7351639344263
"SYD51",2009,20.0976164383562
"SYD51",2010,20.327698630137
"SYD51",2011,20.3215068493151
"SYD51",2012,19.9850273224044
"SYD51",2013,20.6793424657534
"SYD51",2014,20.3341917808219
"SYD51",2015,20.5352602739726
"SYD51",2016,20.902349726776
"SYD51",2017,20.7765479452055
"SYD51",2018,20.072904109589
"SYD51",2019,20.6682191780822
"SYD51",2020,20.0291256830601
"SYD51",2021,20.3510684931507
"SYD51",2022,20.8209315068493
"SYD32",2008,19.7478415300546
"SYD32",2009,20.1356712328767
"SYD32",2010,20.354904109589
"SYD32",2011,20.3580821917808
"SYD32",2012,20.0175409836066
"SYD32",2013,20.7040547945205
"SYD32",2014,20.3880821917808
"SYD32",2015,20.5765205479452
"SYD32",2016,20.9537978142077
