"taxon","family","class","guild","limit","side","lat1","lat2","dLat","lon1","lon2","dLon","site1","site2","N_site","temp1","temp2","dTemp","total_log1","total_log2","pop_trend","presence","range","trophic_level","trophic_group","max_length","water_column","habitat","max_depth","therm_max","therm_mid","sgi","region","latitude","longitude","dSST"
"Chelmonops curiosus","Chaetodontidae","Actinopterygii","temperate","southern","west",-35.5308499999996,-35.5471499999999,-0.0163000000002427,138.152889999999,138.63821,0.485320000000769,"GSV28","GSV107",98,17.222462380301,16.6895348837209,-0.532927496580101,6.15329159449778,6.12396397940326,-0.0293276150945205,"common",971,3.3,"Benthic invertivore",26,"Demersal","rock",40,23.33965,19.084,27.2266639,"S",-35.53085,138.15289,0.211641586867302
"Chelmonops curiosus","Chaetodontidae","Actinopterygii","temperate","northern","west",-30.1207300000005,-30.1207300000005,0,114.953650000003,114.953650000003,0,"JMP-S25","JMP-S25",98,21.8635704514364,22.4649204355779,0.601349984141532,3.19722457733622,3.19722457733622,0,"common",971,3.3,"Benthic invertivore",26,"Demersal","rock",40,23.33965,19.084,27.2266639,"SW",-30.12073,114.95365,1.9804500054282
"Chironemus marmoratus","Chironemidae","Actinopterygii","temperate","northern","east",-32.6847899999998,-30.2070099999994,2.47778000000037,152.225420000001,153.265270000003,1.03985000000171,"PS34","SI8",102,20.6436730506156,22.5119562243502,1.8682831737346,3.56494935746154,3.56494935746154,0,"common",850,3.5,"Benthic invertivore",40,"benthic","rock",20,24.56,18.834125,11.1339052,"SE",-32.68479,152.22542,0.453050615595103
"Chironemus marmoratus","Chironemidae","Actinopterygii","temperate","southern","both",-37.8182800000005,-37.8190500000015,-0.000770000001054427,148.7838,148.783509999993,-0.000290000006970104,"BR11","BR3",102,16.3116621067032,16.2880939352485,-0.0235681714546381,6.52942908751142,6.51745289646471,-0.011976191046716,"common",850,3.5,"Benthic invertivore",40,"benthic","rock",20,24.56,18.834125,11.1339052,"SE",-37.81828,148.7838,-0.435050586111602
"Chlorurus bleekeri","Scaridae","Actinopterygii","tropical","northern","both",-10.1441400000001,-10.03484,0.109300000000129,144.576260000001,144.698929999999,0.122669999997612,"CS211","CS194",67,27.0887961696306,27.4716415868673,0.382845417236698,3.39789527279837,2.6094379124341,-0.78845736036427,"rare",1641,2,"Herbivore",49,"Demersal","coral",NA,31.54,28.8023,7.8456217,"N",-10.14414,144.57626,0.514664842681299
"Chlorurus bleekeri","Scaridae","Actinopterygii","tropical","southern","west",-17.2842999999998,-17.0737399999999,0.210559999999983,119.376900000002,119.645499999999,0.26859999999742,"NWS87","NWS67",67,27.9815321477428,28.2939945280438,0.312462380301,6.33271879326537,5.46590811865458,-0.866810674610785,"rare",1641,2,"Herbivore",49,"Demersal","coral",NA,31.54,28.8023,7.8456217,"N",-17.2843,119.3769,0.2143912448701
"Chlorurus bleekeri","Scaridae","Actinopterygii","tropical","southern","east",-23.1754800000003,-16.5337799999999,6.64170000000041,151.908630000002,150.268450000002,-1.64017999999987,"GBR259","CS139",67,24.7936388508892,27.2394664842681,2.4458276333789,2.6094379124341,1.69314718055995,-0.916290731874155,"rare",1641,2,"Herbivore",49,"Demersal","coral",NA,31.54,28.8023,7.8456217,"N",-23.17548,151.90863,-0.0740902872776985
"Chlorurus microrhinos","Scaridae","Actinopterygii","tropical","southern","east",-29.9561200000001,-29.9561200000001,0,159.12732,159.12732,0,"EMR32","EMR32",310,22.0432558139535,22.4647332421341,0.421477428180598,6.17614973257383,6.59842195899838,0.422272226424546,"common",3370,2,"Herbivore",70,"Demersal","coral",35,30.9527,25.86,20.9789342,"SE",-29.95612,159.12732,0.421477428180598
"Chlorurus microrhinos","Scaridae","Actinopterygii","tropical","northern","both",-9.98876999999994,-9.98876999999994,0,144.691300000003,144.691300000003,0,"CS208","CS208",310,27.1434336525308,27.5669425444596,0.423508891928851,4.78418963391826,4.73766961828337,-0.0465200156348935,"common",3370,2,"Herbivore",70,"Demersal","coral",35,30.9527,25.86,20.9789342,"N",-9.98877,144.6913,0.3400547195622
"Chlorurus microrhinos","Scaridae","Actinopterygii","tropical","southern","west",-23.2083799999987,-23.1999499999994,0.00842999999935756,113.763280000006,113.76354000001,0.000260000003578398,"NMP11","NMP-C4",310,24.6126265389877,25.4984042570517,0.885777718063963,7.49223983502047,7.2709884318583,-0.221251403162172,"common",3370,2,"Herbivore",70,"Demersal","coral",35,30.9527,25.86,20.9789342,"SW",-23.20838,113.76328,0.7205388979839
